corner_id,latitude,longitude,min_speed,speed_std,n_observations,corner_type
1,39.788291931152344,-86.23533376057942,80.36500000000001,3.956005139868586,6,medium
2,39.78943939208985,-86.23542633056641,78.75,1.7497485533641697,5,medium
3,39.79148801167806,-86.23136138916016,104.38499999999999,1.9876862596161082,6,fast
4,39.79161516825358,-86.23254776000977,107.82,2.4097337335620033,6,fast
5,39.792280197143555,-86.23477045694987,88.29,4.955803332121512,6,medium
6,39.79910736083984,-86.23877563476563,76.29,1.8169259753770912,5,medium
7,39.80113855997721,-86.2360471089681,100.43,1.8953275882196923,6,fast
